School_code#School_name#development_region#Eco_Belt#Zone#District#VDC#Address#Ward_No#Locality#ECD#PRIMARY#LSEC#SEC#HSEC
10160012#Deurali Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Sisne#1#Urban#Community_Teacher_aided#Community_Teacher_aided###
10170002#Janata Pra V#Eastern#Mountain#Mechi#Taplejung#Limbudin#Amarpokhari#9#Urban#Community_aided#Community_aided###
10170003#Ambika Ni Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Limbudin#Chungbung#6#Urban##Community_Managed#Community_Teacher_aided##
10170004#Yamuna Pra V#Eastern#Mountain#Mechi#Taplejung#Limbudin#Penepa#3#Urban##Community_Managed###
10170005#Bhanjyang Uchha Ma V#Eastern#Mountain#Mechi#Taplejung#Limbudin#Limbudin#4#Urban##Community_aided#Community_aided#Community_aided#Community_Teacher_aided
10170006#Jagat Kali Pra V#Eastern#Mountain#Mechi#Taplejung#Limbudin#Limbudin#1#Urban##Community_aided###
10170007#Deurali Pra V#Eastern#Mountain#Mechi#Taplejung#Limbudin#Ekhedin#5#Urban##Community_aided###
10170011#Ram Pra Vi#Eastern#Mountain#Mechi#Taplejung#Limbudin#Omrema#8#Urban##Community_Teacher_aided###
10170012#Sungabha Pra Vi#Eastern#Mountain#Mechi#Taplejung#Limbudin#Dandagaun#4#Urban#Community_Teacher_aided#Community_Teacher_aided###
10180001#Chandi Danda Pra V#Eastern#Mountain#Mechi#Taplejung#Lingtep#Samekham#7#Rural##Community_Teacher_aided###
10180002#Shrijang Pra V#Eastern#Mountain#Mechi#Taplejung#Lingtep#Lupling#4#Urban#Community_aided#Community_aided###
10180003#Raja Rani Pra V#Eastern#Mountain#Mechi#Taplejung#Lingtep#Sukhiyung#1#Rural##Community_aided###
10180004#Laxmi Ma Vi#Eastern#Mountain#Mechi#Taplejung#Lingtep#Sabenbung#2#Urban##Community_aided#Community_aided#Community_Teacher_aided#
10180005#Devi Ni Ma Vi#Eastern#Mountain#Mechi#Taplejung#Lingtep#Dingla#5#Urban##Community_aided#Community_Unaided##
10190001#Bijaya Ni Ma Vi#Eastern#Mountain#Mechi#Taplejung#Linkhim#Tawa#2#Urban##Community_aided#Community_Unaided##
10190002#Dirja Pra V#Eastern#Mountain#Mechi#Taplejung#Linkhim#Sirangun#2#Urban#Community_aided#Community_aided###
10190003#Jana Kalyan Pra V#Eastern#Mountain#Mechi#Taplejung#Linkhim#Ongnemwa#3#Rural##Community_aided###
10190004#Janata Pra V#Eastern#Mountain#Mechi#Taplejung#Linkhim#Thiwa#1#Urban##Community_aided###
10190005#Maharani Pra V#Eastern#Mountain#Mechi#Taplejung#Linkhim#Thauwa#8#Urban##Community_aided###
10190006#Mahendra Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Linkhim#Ijung#5#Urban#Community_aided#Community_aided#Community_Teacher_aided##
10190007#Sinwa Ma V#Eastern#Mountain#Mechi#Taplejung#Linkhim#Sinwa#9#Urban#Community_aided#Community_aided#Community_aided#Community_aided#Community_Teacher_aided
10190008#Bhakta Pra Vi#Eastern#Mountain#Mechi#Taplejung#Linkhim#Subbatole#7#Urban##Community_Unaided###
10200001#Pancheswari Ma Vi#Eastern#Mountain#Mechi#Taplejung#Liwang#Liwang#3#Urban##Community_Managed#Community_Managed#Community_Unaided#
10200002#Janata Pra V#Eastern#Mountain#Mechi#Taplejung#Liwang#Yokma#7#Rural##Community_aided###
10200003#Chinabung Pra V#Eastern#Mountain#Mechi#Taplejung#Liwang#Chinabung#8#Urban##Community_Managed###
10200004#Sherpa Pra V#Eastern#Mountain#Mechi#Taplejung#Liwang#Kande#6#Urban#Community_aided#Community_aided###
